P527(e1,e2)	In the <e1> Finnic languages </e1> , such as <e2> Finnish </e2> and Estonian , there is syncretism between the accusative and genitive singular case forms , and the nominative and accusative plural case forms .
P527(e2,e1)	Tito planned to absorb Albania and Greece in cooperation with <e1> Bulgaria </e1> , thereby setting up a powerful <e2> Eastern Europe </e2> bloc outside Moscow 's control .
P740(e2,e1)	Similar movements concurrently formed in many other countries , leading to the formation , at a 1947 meeting in <e1> Montreux </e1> , Switzerland , of a global coalition , now called <e2> World Federalist Movement </e2> .
P740(e2,e1)	Seeekret is the seventh and final album by American <e1> New York City </e1> based <e2> Kleeer </e2> .
P740(e2,e1)	Dan and Frank Carney opened a pizza parlor in <e1> Wichita , Kansas </e1> which would later become <e2> Pizza Hut </e2> .
P740(e2,e1)	During the 1980s and the early 1990s , four <e1> Stourbridge </e1> bands - <e2> Diamond Head </e2> , The Wonder Stuff , Pop Will Eat Itself and Ned 's Atomic Dustbin - all enjoyed chart success .
P740(e1,e2)	<e1> Deadwater Drowning </e1> was an American deathcore band formed in 2002 in <e2> Brookline </e2> , New Hampshire .
P740(e1,e2)	Contrary to some reports , <e1> Gorelord </e1> is based in <e2> Oslo </e2> , Norway .
P740(e1,e2)	The last track , " God morgon " , was performed by the pop group <e1> Sweets n ' Chips </e1> as their <e2> Swedish </e2> Melodifestivalen 1981 entry , a group where Kikki Danielsson was a member .
P740(e1,e2)	The band <e1> Chevelle </e1> originated from <e2> Grayslake , Illinois </e2> .
P740(e1,e2)	On June 6 , 2011 it was revealed that the second <e1> The Unguided </e1> concert would be on July 26 , 2011 at the annual Grand Rock event at their hometown <e2> Falkenberg </e2> , Sweden .
P740(e2,e1)	He additionally collaborated with <e1> Toronto </e1> - based production duo <e2> Zeds Dead </e2> to release " Frontlines " as a single which would later be released on their debut album Northern Lights through their label , Deadbeats .
